,date,energy_demand,time,is_weekend
1531,2023-01-16,46791.921,22:00:00,False
1535,2023-01-16,44385.997,23:00:00,False
1539,2023-01-17,41956.144,00:00:00,False
1543,2023-01-17,39823.07999999,01:00:00,False
1547,2023-01-17,38538.66599999,02:00:00,False
1551,2023-01-17,37872.921,03:00:00,False
1555,2023-01-17,37766.942,04:00:00,False
1559,2023-01-17,37864.517,05:00:00,False
1563,2023-01-17,38514.754,06:00:00,False
1567,2023-01-17,40712.57699999,07:00:00,False
1571,2023-01-17,42636.18299999,08:00:00,False
1575,2023-01-17,43397.72699999,09:00:00,False
1579,2023-01-17,44050.23299999,10:00:00,False
1583,2023-01-17,44075.896,11:00:00,False
1587,2023-01-17,44143.265,12:00:00,False
1591,2023-01-17,46039.26999999,13:00:00,False
1595,2023-01-17,47477.801,14:00:00,False
1599,2023-01-17,48160.42599999,15:00:00,False
1603,2023-01-17,48681.15,16:00:00,False
1607,2023-01-17,47252.92,17:00:00,False
1611,2023-01-17,46765.28799999,18:00:00,False
1615,2023-01-17,49601.473,19:00:00,False
1619,2023-01-17,49942.753,20:00:00,False
1623,2023-01-17,49235.495,21:00:00,False
1627,2023-01-17,47141.004,22:00:00,False
1631,2023-01-17,44544.27699999,23:00:00,False
1635,2023-01-18,41873.27699999,00:00:00,False
1639,2023-01-18,39863.165,01:00:00,False
1643,2023-01-18,38283.579,02:00:00,False
1647,2023-01-18,37618.409,03:00:00,False
1651,2023-01-18,37578.26999999,04:00:00,False
1655,2023-01-18,37655.892,05:00:00,False
1659,2023-01-18,38548.975,06:00:00,False
1663,2023-01-18,40815.262,07:00:00,False
1667,2023-01-18,42430.85,08:00:00,False
1671,2023-01-18,43165.66399999,09:00:00,False
1675,2023-01-18,43825.836,10:00:00,False
1679,2023-01-18,43914.97999999,11:00:00,False
1683,2023-01-18,44028.644,12:00:00,False
1687,2023-01-18,45580.29599999,13:00:00,False
1691,2023-01-18,47062.08199999,14:00:00,False
1695,2023-01-18,47871.48499999,15:00:00,False
1699,2023-01-18,48150.45699999,16:00:00,False
1703,2023-01-18,46451.107,17:00:00,False
1707,2023-01-18,46338.45699999,18:00:00,False
1711,2023-01-18,49041.84899999,19:00:00,False
1715,2023-01-18,49269.526,20:00:00,False
1719,2023-01-18,48822.713,21:00:00,False
1723,2023-01-18,46881.21499999,22:00:00,False
1727,2023-01-18,44203.665,23:00:00,False
1731,2023-01-19,41586.208,00:00:00,False
1735,2023-01-19,39664.48599999,01:00:00,False
1739,2023-01-19,38281.79299999,02:00:00,False
1743,2023-01-19,37459.71499999,03:00:00,False
1747,2023-01-19,37385.014,04:00:00,False
1751,2023-01-19,37642.356,05:00:00,False
1755,2023-01-19,38529.69799999,06:00:00,False
1759,2023-01-19,40481.66999999,07:00:00,False
1763,2023-01-19,42214.10799999,08:00:00,False
1767,2023-01-19,42880.144,09:00:00,False
1771,2023-01-19,43252.82799999,10:00:00,False
1775,2023-01-19,43274.11599999,11:00:00,False
1779,2023-01-19,43224.30799999,12:00:00,False
1783,2023-01-19,45185.431,13:00:00,False
1787,2023-01-19,46866.866,14:00:00,False
1791,2023-01-19,47641.73199999,15:00:00,False
1795,2023-01-19,48024.874,16:00:00,False
1799,2023-01-19,46549.93,17:00:00,False
1803,2023-01-19,46221.145,18:00:00,False
1807,2023-01-19,48739.604,19:00:00,False
1811,2023-01-19,48668.575,20:00:00,False
1815,2023-01-19,47907.35699999,21:00:00,False
1819,2023-01-19,45953.796,22:00:00,False
1823,2023-01-19,43605.14699999,23:00:00,False
1827,2023-01-20,41298.48799999,00:00:00,False
1831,2023-01-20,39194.81899999,01:00:00,False
1835,2023-01-20,38038.54799999,02:00:00,False
1839,2023-01-20,37402.96699999,03:00:00,False
1843,2023-01-20,37331.50499999,04:00:00,False
1847,2023-01-20,37689.26199999,05:00:00,False
1851,2023-01-20,38372.01299999,06:00:00,False
1855,2023-01-20,40566.41099999,07:00:00,False
1859,2023-01-20,42168.25299999,08:00:00,False
